,total_mask_num,match_num,match_ratio
508,5,0,0.0
509,1,1,1.0
510,2,1,0.5
511,0,0,NAN
512,2,0,0.0
513,2,0,0.0
514,3,0,0.0
515,5,0,0.0
516,8,2,0.25
517,2,0,0.0
518,7,1,0.14285714285714285
519,5,0,0.0
520,7,1,0.14285714285714285
521,4,2,0.5
522,4,0,0.0
523,5,0,0.0
524,4,0,0.0
525,4,1,0.25
526,1,0,0.0
527,4,1,0.25
528,2,0,0.0
529,1,1,1.0
530,2,0,0.0
531,4,0,0.0
532,3,0,0.0
533,2,0,0.0
534,0,0,NAN
535,4,0,0.0
536,1,1,1.0
537,5,1,0.2
538,4,1,0.25
539,3,0,0.0
540,3,0,0.0
541,5,1,0.2
542,2,0,0.0
543,4,1,0.25
544,1,0,0.0
545,5,0,0.0
546,4,0,0.0
547,4,1,0.25
548,1,0,0.0
549,2,1,0.5
550,3,1,0.3333333333333333
551,2,0,0.0
552,6,1,0.16666666666666666
553,3,0,0.0
554,4,0,0.0
555,0,0,NAN
556,2,0,0.0
557,0,0,NAN
558,2,0,0.0
559,5,1,0.2
560,5,0,0.0
561,2,1,0.5
562,6,0,0.0
563,1,0,0.0
564,2,0,0.0
565,4,1,0.25
566,7,2,0.2857142857142857
567,3,0,0.0
568,1,0,0.0
569,6,2,0.3333333333333333
570,4,0,0.0
571,2,0,0.0
572,3,0,0.0
573,1,1,1.0
574,0,0,NAN
575,6,0,0.0
576,2,0,0.0
577,3,0,0.0
578,5,0,0.0
579,2,1,0.5
580,2,0,0.0
581,5,0,0.0
582,3,1,0.3333333333333333
583,7,0,0.0
584,5,0,0.0
585,2,0,0.0
586,4,1,0.25
587,2,0,0.0
588,5,0,0.0
589,5,0,0.0
590,0,0,NAN
591,5,0,0.0
592,3,0,0.0
593,4,0,0.0
594,2,1,0.5
595,1,0,0.0
596,6,0,0.0
597,3,0,0.0
598,4,1,0.25
599,4,0,0.0
600,3,1,0.3333333333333333
601,3,0,0.0
602,4,1,0.25
603,3,0,0.0
604,1,1,1.0
605,3,0,0.0
606,4,1,0.25
607,2,0,0.0
608,5,0,0.0
609,0,0,NAN
610,4,1,0.25
611,4,0,0.0
612,4,0,0.0
613,2,0,0.0
614,3,1,0.3333333333333333
615,7,0,0.0
616,4,0,0.0
617,2,0,0.0
618,3,0,0.0
619,3,0,0.0
620,1,0,0.0
621,4,0,0.0
622,2,0,0.0
623,5,0,0.0
624,3,0,0.0
625,2,0,0.0
626,6,0,0.0
627,5,1,0.2
628,1,0,0.0
629,2,0,0.0
630,1,0,0.0
631,6,1,0.16666666666666666
632,3,0,0.0
633,4,0,0.0
634,0,0,NAN
635,4,1,0.25
636,2,0,0.0
637,7,1,0.14285714285714285
638,2,0,0.0
639,5,0,0.0
640,5,2,0.4
641,2,0,0.0
642,7,1,0.14285714285714285
643,2,0,0.0
644,9,1,0.1111111111111111
645,6,1,0.16666666666666666
646,1,0,0.0
647,4,0,0.0
648,4,1,0.25
649,6,1,0.16666666666666666
650,0,0,NAN
651,5,2,0.4
652,1,1,1.0
653,6,0,0.0
654,4,0,0.0
655,3,0,0.0
656,4,0,0.0
657,7,0,0.0
