,0,1,2,3,4,5,6,7,8,9,10,11
70,6C:EC:EB:1F:F6:26_-79,6C:EC:EB:1F:F4:74_-82,6C:EC:EB:1F:F6:24_-87,BC:6A:29:BE:2F:23_-70,6C:EC:EB:1F:F4:74_-84,6C:EC:EB:1F:F4:46_-86,7C:66:9D:7B:2B:9F_-85,6C:EC:EB:1F:F6:65_-68,,,,
71,7C:66:9D:7B:2D:4A_-94,BC:6A:29:BE:31:57_-72,6C:EC:EB:1F:F6:55_-95,6C:EC:EB:1F:F6:55_-95,7C:66:9D:7B:29:FA_-66,,,,,,,
72,6C:EC:EB:1F:F6:65_-66,,,,,,,,,,,
73,6C:EC:EB:1F:F6:65_-76,6C:EC:EB:1F:F6:26_-70,7C:66:9D:7B:2B:9F_-88,7C:66:9D:7B:29:FB_-78,6C:EC:EB:1F:F6:65_-78,6C:EC:EB:1F:F6:26_-69,6C:EC:EB:1F:F6:24_-77,BC:6A:29:BE:2F:23_-74,6C:EC:EB:1F:F6:24_-78,7C:66:9D:7B:29:FB_-77,6C:EC:EB:1F:FD:83_-73,
74,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F4:46_-79,BC:6A:29:BE:2F:23_-85,6C:EC:EB:1F:F4:46_-79,6C:EC:EB:1F:F6:65_-88,,,,,,,
75,6C:EC:EB:1F:F6:65_-87,,,,,,,,,,,
76,6C:EC:EB:1F:F6:76_-68,6C:EC:EB:1F:F6:65_-67,7C:66:9D:7B:29:FB_-88,7C:66:9D:7B:2B:90_-81,6C:EC:EB:1F:F6:24_-75,6C:EC:EB:1F:F6:76_-69,6C:EC:EB:1F:F6:65_-68,,,,,
77,,,,,,,,,,,,
78,6C:EC:EB:1F:F4:46_-73,6C:EC:EB:1F:F6:24_-80,7C:66:9D:7B:2B:9F_-75,BC:6A:29:BE:31:57_-90,7C:66:9D:7B:2B:90_-92,7C:66:9D:7B:2B:9F_-75,6C:EC:EB:1F:F6:24_-76,,,,,
79,6C:EC:EB:1F:F6:76_-84,6C:EC:EB:1F:F6:26_-85,,,,,,,,,,
80,7C:66:9D:7B:29:FB_-87,6C:EC:EB:1F:F6:76_-68,6C:EC:EB:1F:F6:76_-69,6C:EC:EB:1F:F6:24_-74,7C:66:9D:7B:29:FB_-87,,,,,,,
81,6C:EC:EB:1F:F6:26_-87,6C:EC:EB:1F:FD:9B_-92,6C:EC:EB:1F:F6:24_-75,6C:EC:EB:1F:F6:65_-85,6C:EC:EB:1F:FD:83_-84,6C:EC:EB:1F:FD:9B_-94,6C:EC:EB:1F:F4:74_-91,,,,,
82,6C:EC:EB:1F:F4:46_-77,6C:EC:EB:1F:F6:26_-88,7C:66:9D:7B:2B:9F_-74,,,,,,,,,
83,7C:66:9D:7B:29:FA_-79,7C:66:9D:7B:2D:4A_-72,BC:6A:29:BE:2F:76_-72,7C:66:9D:7B:2D:4A_-72,,,,,,,,
84,6C:EC:EB:1F:F6:24_-83,7C:66:9D:7B:2B:90_-83,6C:EC:EB:1F:F4:74_-75,6C:EC:EB:1F:F6:65_-83,BC:6A:29:BE:2F:23_-74,,,,,,,
85,6C:EC:EB:1F:FD:83_-74,6C:EC:EB:1F:F6:26_-85,6C:EC:EB:1F:F6:76_-72,7C:66:9D:7B:29:FB_-83,,,,,,,,
86,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F6:24_-77,6C:EC:EB:1F:F6:26_-87,6C:EC:EB:1F:FD:83_-81,6C:EC:EB:1F:F4:46_-82,6C:EC:EB:1F:F4:46_-81,6C:EC:EB:1F:F6:26_-88,,,,,
87,6C:EC:EB:1F:FD:83_-89,,,,,,,,,,,
88,BC:6A:29:BE:31:57_-64,7C:66:9D:7B:29:FB_-84,7C:66:9D:7B:29:FB_-85,7C:66:9D:7B:29:FA_-61,7C:66:9D:7B:2B:90_-73,,,,,,,
89,6C:EC:EB:1F:F6:65_-61,7C:66:9D:7B:2B:90_-88,,,,,,,,,,
90,,,,,,,,,,,,
91,7C:66:9D:7B:2B:9F_-75,7C:66:9D:7B:2B:90_-82,6C:EC:EB:1F:F6:76_-86,6C:EC:EB:1F:F4:46_-86,6C:EC:EB:1F:F6:76_-88,6C:EC:EB:1F:F6:24_-70,,,,,,
92,BC:6A:29:BE:2F:23_-86,,,,,,,,,,,
93,6C:EC:EB:1F:F4:46_-80,7C:66:9D:7B:2B:9F_-81,6C:EC:EB:1F:F6:26_-76,7C:66:9D:7B:2B:9F_-79,,,,,,,,
94,6C:EC:EB:1F:F6:76_-85,6C:EC:EB:1F:F4:74_-78,6C:EC:EB:1F:F6:76_-86,,,,,,,,,
95,BC:6A:29:BE:2F:23_-81,7C:66:9D:7B:2B:9F_-72,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F6:26_-95,,,,,,,,
96,6C:EC:EB:1F:FD:83_-77,6C:EC:EB:1F:F4:74_-77,6C:EC:EB:1F:F6:15_-92,6C:EC:EB:1F:F6:24_-75,6C:EC:EB:1F:FD:83_-76,6C:EC:EB:1F:F6:76_-80,6C:EC:EB:1F:F4:74_-77,,,,,
