,0,1,2,3,4,5,6,7,8,9,10,11
52,6C:EC:EB:1F:F6:55_-80,6C:EC:EB:1F:F6:55_-80,6C:EC:EB:1F:F6:55_-80,6C:EC:EB:1F:F6:55_-80,6C:EC:EB:1F:F6:55_-80,6C:EC:EB:1F:F6:55_-80,,,,,,
53,BC:6A:29:BE:2F:23_-71,BC:6A:29:BE:2F:23_-71,BC:6A:29:BE:2F:23_-71,,,,,,,,,
54,BC:6A:29:BE:31:57_-86,BC:6A:29:BE:31:57_-86,BC:6A:29:BE:31:57_-86,,,,,,,,,
55,6C:EC:EB:1F:F4:74_-69,6C:EC:EB:1F:F4:74_-69,6C:EC:EB:1F:F4:74_-69,6C:EC:EB:1F:F4:46_-73,,,,,,,,
56,7C:66:9D:7B:29:FB_-70,7C:66:9D:7B:29:FB_-70,7C:66:9D:7B:29:FB_-70,,,,,,,,,
57,6C:EC:EB:1F:F4:74_-56,6C:EC:EB:1F:F4:74_-56,6C:EC:EB:1F:F4:74_-56,,,,,,,,,
58,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:74_-78,6C:EC:EB:1F:F4:46_-74,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:46_-76,,,,,,,
59,7C:66:9D:7B:29:FA_-70,7C:66:9D:7B:29:FA_-70,7C:66:9D:7B:29:FA_-70,6C:EC:EB:1F:F6:15_-89,BC:6A:29:BE:31:57_-60,,,,,,,
60,,,,,,,,,,,,
61,6C:EC:EB:1F:F6:76_-92,6C:EC:EB:1F:F6:24_-84,6C:EC:EB:1F:F6:24_-84,6C:EC:EB:1F:F6:24_-84,6C:EC:EB:1F:F6:24_-84,6C:EC:EB:1F:F6:24_-84,6C:EC:EB:1F:F6:24_-84,,,,,
62,7C:66:9D:7B:29:FA_-89,7C:66:9D:7B:29:FA_-92,7C:66:9D:7B:29:FA_-92,,,,,,,,,
63,7C:66:9D:7B:29:FA_-71,7C:66:9D:7B:29:FA_-71,,,,,,,,,,
