reference_tag,coordinate_x,coordinate_y,cluster_tag,direction_tag,6C:EC:EB:1F:FB:96,6C:EC:EB:1F:F4:4F,6C:EC:EB:1F:F8:E8,6C:EC:EB:1F:FB:C7,6C:EC:EB:1F:FD:9B,20:CD:39:7D:42:D1,6C:EC:EB:1F:FB:B0,6C:EC:EB:1F:FD:8E,6C:EC:EB:1F:F4:46,6C:EC:EB:1F:F4:74,6C:EC:EB:1F:F6:24,6C:EC:EB:1F:FD:83,6C:EC:EB:1F:F6:26,6C:EC:EB:1F:F6:65,6C:EC:EB:1F:F6:76,6C:EC:EB:1F:F6:55,6C:EC:EB:1F:F6:15,6C:EC:EB:1F:F6:2D,7C:66:9D:7B:2B:9F,BC:6A:29:BE:2F:23,7C:66:9D:7B:29:FB,7C:66:9D:7B:2B:90,BC:6A:29:BE:31:57,7C:66:9D:7B:29:FA,BC:6A:29:BE:2F:76,7C:66:9D:7B:2D:4A
1,10.446,10.737,0,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-84.4,-78.2,-92.33333333333331,-128.0,-93.0,-92.0,-84.2,-128.0,-128.0,-128.0,-75.0,-82.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
11,2.736,1.181,10,1,-128.0,-128.0,-128.0,-128.0,-88.75,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-85.33333333333333,-87.0,-88.75,-92.0,-128.0,-128.0
12,6.474,1.181,11,1,-128.0,-128.0,-128.0,-128.0,-70.25,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-65.0,-74.6,-78.25,-128.0,-128.0,-128.0
13,10.474,1.181,12,1,-128.0,-128.0,-128.0,-128.0,-76.66666666666667,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-79.0,-128.0,-128.0,-128.0,-78.0,-128.0,-86.0,-128.0,-128.0,-62.5,-78.0,-84.25,-128.0,-128.0,-128.0
10,10.474,5.134,9,1,-99.0,-128.0,-128.0,-128.0,-89.33333333333331,-128.0,-99.0,-128,-128.0,-90.0,-78.0,-76.0,-91.0,-92.0,-91.0,-91.33333333333331,-90.5,-96.0,-82.33333333333333,-66.0,-72.75,-128.0,-128.0,-128.0,-128.0,-128.0
6,13.253,5.959,5,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-74.5,-82.0,-75.5,-63.0,-76.0,-58.0,-78.0,-89.0,-128.0,-128.0,-79.0,-69.2,-79.5,-128.0,-89.0,-128.0,-128.0,-128.0
14,13.939,1.181,13,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-88.0,-75.66666666666667,-128.0,-128.0,-68.5,-71.0,-128.0,-128.0,-83.0,-66.0,-128.0,-70.0,-128.0,-128.0,-128.0
1,10.446,10.737,0,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-84.4,-77.2,-128.0,-89.6,-128.0,-88.66666666666669,-86.0,-128.0,-128.0,-128.0,-74.75,-82.33333333333333,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
21,10.414,6.129,20,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-76.66666666666667,-71.0,-78.5,-128.0,-128.0,-81.0,-128.0,-128.0,-128.0,-76.0,-64.0,-74.5,-128.0,-128.0,-128.0,-128.0,-128.0
8,13.253,3.263,7,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-87.0,-85.0,-128.0,-72.33333333333333,-69.33333333333333,-128.0,-83.0,-128.0,-95.0,-128.0,-83.0,-74.0,-128.0,-76.0,-128.0,-128.0,-128.0,-128.0
