,word,id
204,6C:EC:EB:1F:FB:C7_-81,204
205,6C:EC:EB:1F:FB:C7_-80,205
206,6C:EC:EB:1F:FB:C7_-79,206
207,6C:EC:EB:1F:FB:C7_-78,207
208,6C:EC:EB:1F:FB:C7_-77,208
209,6C:EC:EB:1F:FB:C7_-76,209
210,6C:EC:EB:1F:FB:C7_-75,210
211,6C:EC:EB:1F:FB:C7_-74,211
212,6C:EC:EB:1F:FB:C7_-73,212
213,6C:EC:EB:1F:FB:C7_-72,213
214,6C:EC:EB:1F:FB:C7_-71,214
215,6C:EC:EB:1F:FB:C7_-70,215
216,6C:EC:EB:1F:FB:C7_-69,216
217,6C:EC:EB:1F:FB:C7_-68,217
218,6C:EC:EB:1F:FB:C7_-67,218
219,6C:EC:EB:1F:FB:C7_-66,219
220,6C:EC:EB:1F:FB:C7_-65,220
221,6C:EC:EB:1F:FB:C7_-64,221
222,6C:EC:EB:1F:FB:C7_-63,222
223,6C:EC:EB:1F:FB:C7_-62,223
224,6C:EC:EB:1F:FB:C7_-61,224
225,6C:EC:EB:1F:FB:C7_-60,225
226,6C:EC:EB:1F:FB:C7_-59,226
227,6C:EC:EB:1F:FB:C7_-58,227
228,6C:EC:EB:1F:FB:C7_-57,228
229,6C:EC:EB:1F:FB:C7_-56,229
230,6C:EC:EB:1F:FB:C7_-55,230
231,6C:EC:EB:1F:FB:C7_-54,231
232,6C:EC:EB:1F:FB:C7_-53,232
233,6C:EC:EB:1F:FB:C7_-52,233
234,6C:EC:EB:1F:FB:C7_-51,234
235,6C:EC:EB:1F:FB:C7_-50,235
236,6C:EC:EB:1F:FB:C7_-49,236
237,6C:EC:EB:1F:FB:C7_-48,237
238,6C:EC:EB:1F:FB:C7_-47,238
239,6C:EC:EB:1F:FB:C7_-46,239
240,6C:EC:EB:1F:FB:C7_-45,240
241,6C:EC:EB:1F:FB:C7_-44,241
242,6C:EC:EB:1F:FB:C7_-43,242
243,6C:EC:EB:1F:FB:C7_-42,243
244,6C:EC:EB:1F:FB:C7_-41,244
245,6C:EC:EB:1F:FD:9B_-100,245
246,6C:EC:EB:1F:FD:9B_-99,246
247,6C:EC:EB:1F:FD:9B_-98,247
248,6C:EC:EB:1F:FD:9B_-97,248
249,6C:EC:EB:1F:FD:9B_-96,249
